twa/tws;6;8;10;12;14;16;20
0;0;0;0;0;0;0;0
52;4.8;5.73;6.36;6.64;6.75;6.79;6.77
60;5.07;6.01;6.55;6.81;6.94;7;7.01
75;5.29;6.22;6.69;6.98;7.2;7.36;7.46
90;5.24;6.19;6.76;7.08;7.29;7.59;8
110;5.12;6.21;6.81;7.21;7.63;8.02;8.49
120;4.95;6.05;6.72;7.11;7.52;7.98;8.92
135;4.46;5.51;6.36;6.84;7.21;7.63;8.6
150;3.79;4.82;5.7;6.43;6.86;7.2;8.01
