TWA\TWS;0;2;4;6;8;10;12;14;16;18;20;22;23;24;26;28;30;32;33;34;36;38;40;60
125;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
130;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
135;0.00;0.00;3.09;4.34;5.61;6.53;7.20;7.83;8.43;0.00;9.53;0.00;0.00;11.00;0.00;0.00;12.30;0.00;0.00;12.00;0.00;0.00;0.00;0
140;0.00;0.00;2.90;3.35;4.25;6.60;7.10;7.60;8.20;0.00;9.30;0.00;0.00;10.80;0.00;0.00;12.10;0.00;0.00;11.80;0.00;0.00;0.00;0
145;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
150;0.00;0.00;2.50;3.14;4.04;5.69;6.49;7.10;7.69;0.00;8.79;0.00;0.00;10.10;0.00;0.00;11.60;0.00;0.00;11.00;0.00;0.00;0.00;0
155;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
160;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
165;0.00;0.00;2.13;3.04;3.95;4.67;5.95;6.60;7.17;0.00;8.26;0.00;0.00;9.50;0.00;0.00;10.90;0.00;0.00;10.50;0.00;0.00;0.00;0
170;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
175;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
180;0.00;0.00;1.97;2.93;3.81;4.67;5.53;6.28;6.86;0.00;7.92;0.00;0.00;9.00;0.00;0.00;10.30;0.00;0.00;9.00;0.00;0.00;0.00;0
