Boat Name,Sail No,Cert No,Issue Date,Cert Year,TCC,Endorsed,Dayboat,Short Handed,Non Spi TCC,Crew,DLR,LH,Beam,Draft,Headsails,Series Date,Age Date,Racing Area,SSS Base Value,STIX,AVS,Category,ValidCode
GENTLE ZEPHYR,GBR3390T,3943,26/01/2015,2015,0.956,,,,0.945,9,230,11.74,4,1.8,Single+H/W Jib,1989,1989,104,42,0,0,0,Yes
EXCALIBUR,GBR3505T,3953,10/04/2015,2015,0.978,,,,0.968,7,188,10,3,1.79,Multiple,1985,1990,101,20,0,0,0,Yes
PERCUSSION,GBR5888,3960,10/03/2015,2015,0.913,E,,,0.903,7,268,9.87,3.2,1.83,Multiple,1978,1991,101,32,24,117,B,Yes
OBSESSION,IRL4513,3972,27/04/2015,2015,0.913,E,,,0.903,7,268,9.87,3.2,1.83,Multiple,1978,1991,118,32,24,117,B,Yes
REBELLION,IRL3605,3976,22/01/2015,2015,0.914,,,,0.903,6,287,8.27,2.82,1.76,Multiple,1984,1988,109,18,0,0,0,Yes
CLOUD NINE,GBR201,3977,17/02/2015,2015,0.911,,,,0.904,7,272,9.87,3.2,1.83,Multiple,1978,1991,108,32,24.28,116.9,B,Yes
BLUES,GBR4353,3980,08/04/2015,2015,0.909,E,,,0.9,7,268,9.87,3.2,1.83,Multiple,1978,1981,101,32,24,117,B,Yes
SPRINGER,IRL4464,3987,17/03/2015,2015,0.913,E,,,0.903,7,268,9.87,3.2,1.83,Multiple,1978,1991,118,32,24,117,B,Yes
CHASER,GBR4448,3988,28/01/2015,2015,0.913,E,,,0.903,7,268,9.87,3.2,1.83,Multiple,1978,1991,101,32,24,117,B,Yes
RUPERT,IRL4518,3992,03/03/2015,2015,0.913,E,,,0.903,7,268,9.87,3.2,1.83,Multiple,1978,1991,118,32,24,117,B,Yes
REVENGE,GBR4574,3996,12/01/2015,2015,0.913,E,,,0.903,7,268,9.87,3.2,1.83,Multiple,1978,1991,110,32,24,117,B,Yes
SEA HAWK,IRL4506,4003,22/04/2015,2015,0.913,E,,,0.903,7,268,9.87,3.2,1.83,Multiple,1978,1991,118,32,24,117,B,Yes
BALOO,GBR4733,4006,23/02/2015,2015,0.915,E,,,0.905,7,268,9.87,3.2,1.83,Multiple,1978,1987,102,31,24,117,B,Yes
