Boat Name,Sail No,Cert No,Issue Date,Cert Year,TCC,Endorsed,Dayboat,Short Handed,Non Spi TCC,Crew,DLR,LH,Beam,Draft,Headsails,Series Date,Age Date,Racing Area,SSS Base Value,STIX,AVS,Category,ValidCode
BALANCE,52002,14313,15/04/2015,2014,1.364,E,,,1.322,15,75,15.84,4.34,3.21,Multiple,2004,2004,401,34,0,0,0,Yes
ANTIPODES,GBR2888L,14323,13/11/2014,2014,1.39,E,,,1.356,22,65,22.05,4.89,3.4,Multiple,1997,1997,410,49,57,123,A,Yes
PANTHER,GBR8876T,14333,18/02/2015,2015,1,E,,,0.979,8,160,10.5,3.35,1.98,Multiple,1991,2004,141,26,33,120,A,Yes
A BOEN,NED881,14342,23/02/2015,2015,1.004,E,,,0.99,7,146,10,3.37,1.98,Multiple,2004,2004,141,24,0,0,0,Yes
LANCELOT,GBR9481R,14348,17/02/2015,2015,1.055,E,,,1.043,10,193,11.92,3.75,2.4,Multiple,1997,2005,101,31,36,126,A,Yes
CHARLIE V,USA42844,14354,27/01/2015,2015,1.096,E,,,1.082,13,180,13.71,4.2,2.46,Multiple,1989,1989,122,34,0,0,0,Yes
RUSH,USA51,14376,08/04/2015,2015,1.035,E,,,1.012,8,194,10.74,3.51,2.1,Multiple,2001,2003,123,26,33,121,A,Yes
DEAR PRUDENCE,IRL1095,14383,27/04/2015,2015,1.021,E,,,1.005,8,206,10.74,3.51,2.1,Multiple,2001,2005,118,30,33,121,A,Yes
SURFDANCER,IRL1759,14388,20/01/2015,2015,0.971,E,,,0.959,7,202,10,3.46,1.9,Multiple,1998,2003,118,29,34,130,A,Yes
PICOLINI,NED7374,14424,28/01/2015,2015,0.889,,,,0.877,7,293,9.55,3.11,1.52,Multiple,1993,1994,141,29,0,0,0,Yes
ELAINE,GBR1405R,14429,02/04/2015,2015,1.008,E,,,0.993,8,194,11.16,3.65,2.32,Multiple,2003,2004,101,37,40,136,A,Yes
JINKS,GBR1659R,14430,08/04/2015,2015,1.022,,,,1.006,8,199,10.74,3.51,2.1,Multiple,2001,2004,105,29,32,121,A,Yes
NIJINSKY,IRL9292,14453,12/11/2014,2014,0.995,E,,,0.974,7,178,9.14,3.05,1.9,Multiple,1992,2005,414,18,31,129,B,Yes
SLIPSTREAM,GBR7525R,14455,19/03/2015,2015,0.936,E,,,0.918,6,247,7.71,2.5,1.8,Multiple,2000,2004,105,18,0,0,0,Yes
ESPRESSO MARTINI,GBR9160T,14459,16/02/2015,2015,1.215,E,,,1.187,13,129,13.8,4.23,2.91,Multiple,1996,1997,101,31,48,136,A,Yes
PASSION 4C,GER6262,14475,17/12/2014,2014,1.267,E,,,1.241,17,127,17.29,4.48,3.75,Single,2001,2001,401,36,57,131,A,Yes
AQUARIUS,ISL2667,14495,27/04/2015,2015,0.992,E,,,0.976,7,180,10,3,1.79,Multiple,1985,1999,144,20,0,0,0,Yes
BANSHEE 2,GBR7625R,14501,14/01/2015,2015,0.954,,,,0.945,5,151,7.61,2.59,1.68,Multiple,1995,1997,105,12,0,0,0,Yes
AVALANCHE,USA39516,14526,01/04/2015,2015,1.102,E,,,1.076,10,152,11.93,3.69,2.39,Multiple,2000,2002,122,27,40,125,A,Yes
KERAGEOUS,GBR79R,14540,21/01/2015,2015,1.088,E,,,1.069,9,204,11.56,3.3,2.35,Multiple,2005,2005,101,25,47,149,A,Yes
TERRA FIRMA,Sm24,14553,22/05/2014,2014,1.323,E,,,1.285,15,84,15.24,4.26,3.48,Multiple,2004,2005,402,34,0,0,0,Yes
MUSKETEER,Sm4407,14554,27/05/2014,2014,1.107,E,,,1.086,12,188,13.35,3.98,2.63,Multiple,2003,2005,402,34,41,130,A,Yes
ORIJIN,GBR8895T,14556,10/04/2015,2015,1.011,,,,0.986,8,161,10.5,3.35,1.98,Single+H/W Jib,1991,2000,105,25,33,120,A,Yes
PHEZULU II,GBR742R,14574,12/01/2015,2015,1.099,E,,,1.082,11,138,12.86,3.86,2.4,Multiple,1995,2005,103,29,0,0,0,Yes
MOJO,M160,14579,09/07/2014,2014,1.102,E,,,1.081,12,180,13.35,4.25,2.3,Multiple,2002,2005,401,37,37,109,A,Yes
WANDRIAN,CAN50141,14595,08/04/2015,2015,1.077,E,,,1.068,11,220,12.55,3.97,2.55,Multiple,1993,1993,121,29,0,0,0,Yes
MAGIC,USA51552,14600,27/01/2015,2015,1.212,E,,,1.198,16,101,16.16,4.27,2.75,Multiple,1992,2002,122,38,0,0,0,Yes
ISMOLINN,ISL2639,14609,27/04/2015,2015,1.004,,,,0.983,7,183,9.76,2.36,2.07,Multiple,2005,2005,144,15,0,0,0,Yes
AURORA,GBR7737R,14611,02/03/2015,2015,1.094,E,,,1.07,8,183,11.25,3.3,2.33,Multiple,2006,2006,108,26,55,166,A,Yes
WEDGETAIL,NZL9442,14614,03/06/2014,2014,1.209,E,,,1.179,11,125,12.82,3.93,2.65,Multiple,2005,2005,408,33,45,142,A,Yes
GOYAVE,IRL1654,14628,02/04/2015,2015,0.871,E,,,0.858,6,281,8.6,3,1.72,Multiple,1980,1981,118,25,0,0,0,Yes
A CUNNING PLAN,Sm6461,14642,26/09/2014,2014,1.139,E,,,1.111,10,139,11.99,3.82,2.8,Multiple,1995,2005,402,25,0,0,0,Yes
ONE FOR THE ROAD,N40,14643,19/08/2014,2014,1.102,E,,,1.084,10,129,11.99,3.75,2.37,Multiple,2003,2005,401,29,39,125,A,Yes
JEM,6518,14644,19/06/2014,2014,1.17,E,,,1.147,13,153,14.27,4.04,2.92,Multiple,1998,2005,402,35,0,0,0,Yes
FRANTIC,GBR5211L,14664,17/07/2014,2014,1.346,E,,,1.31,15,74,15.85,4.2,3.29,Multiple,2004,2004,401,35,65,141,A,Yes
FAST FORWARD,MLT4070,14679,27/04/2015,2015,1.042,,,,1.031,10,194,11.92,3.75,2.4,Single,1997,2005,147,34,36,126,A,Yes
WHITE LOTUS,IRL1333,14683,12/02/2015,2015,0.971,E,,,0.957,7,223,10,3.46,1.9,Multiple,1998,2005,118,33,34,130,A,Yes
VAMOOSH,GBR4982R,14686,26/01/2015,2015,0.931,E,Dayboat,,0.918,5,174,7.46,1.68,1.1,Multiple,2004,2015,115,10,0,0,0,Yes
ALIVE,52566,14687,30/10/2014,2014,1.578,E,,,1.54,20,55,20.24,4.25,4.51,Multiple,2005,2005,407,48,0,0,0,Yes
RAGAMUFFIN,AUS70,14695,09/07/2014,2014,1.347,E,,,1.31,15,74,15.85,4.41,3.23,Multiple,2005,2005,401,34,0,0,0,Yes
HINDSIGHT II,GBR9333T,14704,02/04/2015,2015,1.014,,,,1.002,8,195,11.16,3.65,2.32,Multiple,2003,2005,117,35,40,136,A,Yes
STARK RAVING MAD,USA61011,14712,18/02/2015,2015,1.329,E,,,1.302,17,128,18.28,4.54,3.67,Multiple,2004,2005,124,44,84,153,A,Yes
SUPERNOVA,6499,14726,10/06/2014,2014,1.045,E,,,1.019,8,162,10.97,3.4,2.36,Multiple,1995,2005,401,29,0,0,0,Yes
TWITCH,B44,14727,18/12/2014,2014,1.108,E,,,1.085,12,189,13.35,3.97,2.64,Multiple,2003,2005,402,34,41,130,A,Yes
ILLICIT,USA52276,14743,30/03/2015,2015,1.1,E,,,1.082,12,186,13.37,3.97,2.15,Multiple,2003,2005,133,34,41,130,A,Yes
CATCH 22,1326,14749,03/09/2014,2014,0.886,E,Dayboat,,0.869,5,150,6.86,2.41,1.2,Multiple,1984,2007,416,10,0,0,0,Yes
GAIA,NED9532,14757,28/01/2015,2015,1.098,,,,1.09,16,226,16.48,4.75,2.44,Multiple,2004,2005,152,58,52,118,A,Yes
JESTER,IRL8750,14761,03/03/2015,2015,0.958,E,,,0.927,6,156,8,2.51,1.49,Single,1993,2015,118,12,23,123,B,Yes
COUGAR II,5200,14772,22/12/2014,2014,1.365,E,,,1.323,15,78,15.85,4.41,3.27,Multiple,2005,2005,407,35,0,0,0,Yes
FLASH,48006,14775,04/03/2015,2015,1.276,,,,1.246,13,136,14.73,4.35,3.04,Multiple,1995,1997,130,33,55,135,A,Yes
GEORGIA ONE,NZL11111,14798,14/10/2014,2014,1.168,E,,,1.15,12,159,13.06,4,2.84,Multiple,1995,1995,408,30,0,0,0,Yes
BROADSWORD,Q40,14799,15/07/2014,2014,1.1,E,,,1.082,10,132,11.99,3.75,2.38,Multiple,2003,2006,404,29,39,125,A,Yes
ZERO II,IRL39000,14803,17/03/2015,2015,1.116,E,,,1.088,10,199,11.82,3.56,2.47,Multiple,2006,2006,101,28,52,161,A,Yes
PEGASUS,USA93367,14808,20/04/2015,2015,1.006,,,,0.995,8,209,10.68,3.45,2.21,Multiple,2001,2003,122,30,34,126,A,Yes
TEMPTRESS,USA43950,14810,08/04/2015,2015,1.071,E,,,1.058,11,230,12.53,3.98,2.39,Multiple,1993,1993,121,31,0,0,0,Yes
WAVELENGTH,Sm220,14814,09/06/2014,2014,0.952,E,,,0.939,8,199,10.35,3.2,1.79,Multiple,1981,1984,402,28,0,0,0,Yes
LE BILLET,10447,14822,22/05/2014,2014,1.109,E,,,1.089,12,190,13.35,3.97,2.64,Multiple,2003,2005,401,34,41,130,A,Yes
ZUHRAH,MAS5201,14836,29/11/2014,2014,1.307,,,,1.274,15,105,15.79,4.44,3.3,Multiple,1999,2005,414,37,0,0,0,Yes
FAITH,UAE888,14837,11/09/2014,2014,1.112,,,,1.091,12,189,13.35,3.97,2.55,Multiple,2003,2005,416,33,41,130,A,Yes
MAI-JAY,UAE22,14838,28/07/2014,2014,0.886,E,Dayboat,,0.869,5,150,6.86,2.41,1.2,Multiple,1984,2007,416,10,0,0,0,Yes
WILD OATS XI,AUS10001,14858,24/03/2015,2014,1.975,E,,,1.948,29,35,30.48,5.1,5.94,Multiple,2005,2009,401,77,0,0,0,Yes
BALI DANCER,SM6031,14864,22/05/2014,2014,0.95,E,,,0.935,8,198,10.35,3.2,1.79,Multiple,1981,1984,402,29,0,0,0,Yes
OAKCLIFF KER 50,USA50069,14881,23/04/2015,2015,1.258,E,,,1.232,15,154,15.34,4.16,3.12,Multiple,2006,2006,127,35,58,149,A,Yes
KALEVALA II,USA52439,14885,20/04/2015,2015,1.039,E,,,1.023,9,220,11.3,3.66,2.44,Multiple,2005,2005,123,34,43,121,A,Yes
SELMA STAR,SVG1367,14894,12/06/2014,2014,1.02,,,,0.998,8,225,10.66,3.49,2.21,Multiple,2001,2005,412,31,34,126,A,Yes
TRIAGE,USA51110,14898,13/02/2015,2015,1.148,E,,,1.132,11,142,12.5,3.86,2.37,Multiple,1996,1998,120,27,0,0,0,Yes
CALAMANSI,HKG1347,14904,05/06/2014,2014,0.984,,,,0.965,7,223,9.99,3.37,2,Single,2005,2006,410,30,42,143,A,Yes
BOJANGLES,GBR8538R,14914,27/01/2015,2015,0.984,,,,0.967,7,182,9.14,3.05,1.9,Multiple,1992,2005,101,18,31,129,B,Yes
FIRESTORM,GBR8532R,14915,24/03/2015,2015,1.027,,,,1.013,8,268,10.74,3.51,2.1,Single+H/W Jib,2001,2005,141,30,32,121,A,Yes
WAILEA,16129,14916,22/09/2014,2014,1.057,E,,,1.038,10,200,11.92,3.77,2.4,Multiple,1997,2001,401,32,36,126,A,Yes
TED,GBR2912R,14918,16/02/2015,2015,0.989,E,,,0.969,6,216,8.82,2.82,1.98,Multiple,2005,2005,117,21,44,165,A,Yes
TUCUXI,GBR9257T,14921,02/04/2015,2015,0.952,,,,0.933,6,157,8.3,3,2.15,Single,2002,2002,101,17,28,124,B,Yes
ZUHAL,MAS5202,14939,06/01/2015,2014,1.309,,,,1.276,15,105,15.79,4.44,3.3,Multiple,1999,2006,414,37,0,0,0,Yes
KING LOUIE,GBR9401R,14940,08/04/2015,2015,1.006,E,,,0.984,8,152,10.5,3.35,1.98,Single,1991,2005,101,25,33,120,A,Yes
L'AUTRE FEMME,GBR9407T,14945,26/01/2015,2015,1.002,,,,0.98,8,154,10.5,3.35,1.98,Multiple,1991,2005,104,25,33,120,A,Yes
SOULMATES,USA1131,14951,20/04/2015,2015,1.142,,,,1.109,10,127,12.25,3.81,2.28,Multiple,1991,1991,121,27,0,0,0,Yes
TRUANT,GBR7580T,14955,31/03/2015,2015,1.007,,,,0.994,8,172,10.64,3.43,2.2,Multiple,1996,1999,103,29,41,140,A,Yes
JANGADA TOO,GBR8537R,14960,13/01/2015,2015,1.009,E,,,0.993,8,201,10.74,3.51,2.1,Multiple,2001,2005,101,32,33,121,A,Yes
REDEYE,GBR2647L,14971,12/03/2015,2015,1.005,,,,0.982,8,161,10.5,3.35,1.98,Multiple,1991,2002,103,25,33,120,A,Yes
BOUND TO PLEASE,SIN2900,14974,06/03/2015,2014,0.989,,,,0.968,6,210,8.82,2.82,1.98,Multiple,2005,2005,414,21,44,165,A,Yes
CONSTANCY,USA1909,14978,28/01/2015,2015,0.968,E,,,0.953,10,286,12.2,3.83,1.81,Multiple,1986,1986,122,44,0,0,0,Yes
EXPRESSION,IRL2406,14980,03/02/2015,2015,0.866,,,,0.866,7,239,8.9,3.23,1.45,Single,1986,1988,118,28,0,0,0,Yes
JUMP JUICE,IRL2007,14984,27/01/2015,2015,1.104,E,,,1.077,9,196,11.3,3.37,2.54,Multiple,2006,2006,118,24,46,150,A,Yes
FLASHBACK,IRL3470,15015,27/04/2015,2015,0.988,E,,,0.97,7,211,9.99,3.37,2,Multiple,2005,2006,118,29,42,143,A,Yes
JOLENE II,GBR7909R,15030,18/03/2015,2015,1.017,,,,1,8,201,10.74,3.51,2.1,Multiple,2001,2006,101,30,33,121,A,Yes
BLACKJACK,HKG2121,15046,05/06/2014,2014,1.101,,,,1.082,12,176,13.55,4.26,2.7,Multiple,2003,2005,410,42,0,0,0,Yes
BORACIC,UAE3700,15048,15/09/2014,2014,1.035,,,,1.018,9,207,11.3,3.68,2.4,Multiple,2005,2005,416,35,43,121,A,Yes
BLACK BETTY,TUR1070,15049,22/04/2015,2015,1.643,E,,,1.61,21,42,21.5,5.52,4.5,Multiple,2005,2005,239,52,0,0,0,Yes
ISLAY,GBR7333T,15053,12/01/2015,2015,0.959,,,,0.946,7,202,10,3.46,1.9,Single,1998,1999,101,31,34,130,A,Yes
ON TAP,A5,15057,18/08/2014,2014,0.892,E,,,0.884,8,312,10.34,3.2,1.74,Multiple,1972,1974,404,35,0,0,0,Yes
ANTIDOTE,USA52545,15064,25/03/2015,2015,1.124,E,,,1.097,12,161,13.11,3.9,2.29,Multiple,2003,2006,127,32,46,130,A,Yes
CAPELLA,NED5111,15067,23/03/2015,2015,0.93,,,,0.913,7,261,9.38,3.25,2.05,Multiple,1993,1993,141,29,0,0,0,Yes
FAUSTINA X,GBR9454T,15072,13/01/2015,2015,1.066,E,,,1.054,11,177,12.94,3.97,2.2,Single,2003,2006,117,38,40,121,A,Yes
J-WIFE,GBR751R,15075,17/02/2015,2015,0.958,E,,,0.927,6,156,8,2.51,1.49,Single,1993,2015,101,12,23,123,B,Yes
PER ELISA,GBR2769R,15081,14/01/2015,2015,0.968,E,,,0.954,7,244,8.9,3.04,1.88,Multiple,1992,1992,105,16,0,0,0,Yes
JAZZY JELLYFISH,GBR8529R,15088,17/03/2015,2015,1.015,,,,0.998,8,194,10.74,3.51,2.1,Single+H/W Jib,2001,2006,101,29,33,121,A,Yes
MADJUS,GBR8533R,15092,15/04/2015,2015,1.1,E,,,1.076,12,168,13.11,3.9,2.3,Multiple,2003,2005,101,34,46,127,A,Yes
TAISCEALAI,IRL851,15094,30/03/2015,2015,0.878,E,,,0.866,7,328,9.01,3.1,1.73,Multiple,1975,1978,118,28,0,0,0,Yes
EH01,GBR4778R,15097,12/02/2015,2015,1.092,,,,1.075,13,180,14.5,4.5,2.3,Multiple,1999,2004,101,43,46,123,A,Yes
JILLIAN,GBR8424T,15100,05/02/2015,2015,0.963,,,,0.954,10,210,11.78,3.95,1.75,Single+H/W Jib,1991,1995,101,41,0,0,0,Yes
SNOW LION,USA52599,15108,13/02/2015,2015,1.284,E,,,1.252,15,103,15.37,4.14,3.1,Multiple,2006,2012,122,37,69,162,A,Yes
VESPUCCI,IRL1502,15109,27/04/2015,2015,0.884,E,,,0.876,7,258,9.4,3.05,1.45,Single,1981,1988,118,26,0,0,0,Yes
GAUNTLET,3627,15110,01/07/2014,2014,1.045,E,,,1.022,8,164,10.98,3.37,2.31,Multiple,1995,2005,404,29,0,0,0,Yes
CAMIRA,IRL2474,15117,20/01/2015,2015,0.948,E,,,0.938,7,180,9.48,3.23,1.9,Multiple,1998,2006,117,27,31,131,A,Yes
COR BLIMEY,GBR629R,15120,20/03/2015,2015,0.987,E,,,0.969,6,219,8.82,2.82,1.98,Multiple,2005,2005,101,21,44,165,A,Yes
ONESAILS RACING,AUS8898,15123,03/10/2014,2014,1.359,E,,,1.323,15,73,15.85,4.35,3.2,Multiple,2004,2004,414,33,59,144,A,Yes
RENEGADE,USA52422,15144,26/01/2015,2015,1.192,E,,,1.171,16,106,16.07,4.26,2.13,Multiple,1992,2000,121,39,0,0,0,Yes
AFFINITY,USA50007,15148,27/02/2015,2015,1.12,,,,1.107,13,206,14.84,4.31,2.37,Multiple,1995,2002,125,42,49,135,A,Yes
ANNE VAN NIEUWPOORT,BEL8531,15159,26/03/2015,2015,1.007,,,,0.985,8,158,10.5,3.35,1.98,Single,1991,2006,205,25,33,120,A,Yes
UPSTART,GBR9224R,15160,31/03/2015,2015,0.984,,,,0.961,7,186,9.14,3.05,1.9,Multiple,1992,2006,103,19,31,129,B,Yes
JOLLY JACK TAR,GBR8541R,15161,13/01/2015,2015,1.012,E,,,0.994,8,199,10.74,3.51,2.1,Single+H/W Jib,2001,2006,101,30,33,121,A,Yes
MOONTIGER IV,GBR9627T,15163,27/02/2015,2015,1.012,E,,,0.994,8,202,10.74,3.51,2.1,Single+H/W Jib,2001,2006,101,31,33,120,A,Yes
JAGUAR OF BURNHAM,GBR9570T,15166,23/02/2015,2015,1.026,E,,,1.008,8,203,10.74,3.51,2.1,Multiple,2001,2005,141,28,32,121,A,Yes
WHITE KNIGHT,GBR8470R,15178,09/01/2015,2015,0.984,,,,0.97,7,221,9.99,3.37,2,Multiple,2005,2006,101,30,42,143,A,Yes
HIRO MARU,USA32510,15183,24/02/2015,2015,0.972,E,,,0.96,12,337,13.05,3.54,2.16,Multiple,1969,1969,122,43,39,121,A,Yes
JOYRIDE,HKG1996,15191,12/06/2014,2014,1.02,E,,,1.003,8,203,10.74,3.51,2.14,Multiple,2001,2006,412,29,33,121,A,Yes
STORMY WEATHER,USA52526,15195,28/01/2015,2015,1.032,E,,,1.016,12,268,13.38,4.19,2.51,Multiple,1989,1989,123,47,0,0,0,Yes
PRETTY FLY III,10007,15210,11/12/2014,2014,1.355,E,,,1.315,15,83,15.23,4.29,3.27,Multiple,2004,2005,401,34,0,0,0,Yes
PARALLEL BLUE,GBR1602R,15212,28/01/2015,2015,1.055,E,,,1.043,10,194,11.92,3.77,2.4,Multiple,1997,2006,101,31,36,126,A,Yes
AGNES,JPN5001,15223,24/02/2015,2015,1.033,E,,,1.014,7,185,9.92,3.38,2.02,Multiple,1996,1998,148,20,0,0,0,Yes
MEOW,CO1,15230,10/04/2015,2015,0.77,E,,,0.756,6,343,7.82,2.28,1.3,Single,1966,1973,101,23,0,0,0,Yes
PLUS 16,5269,15237,19/06/2014,2014,1.007,E,,,0.989,9,171,11.66,3.58,2.08,Multiple,1978,1987,405,29,0,0,0,Yes
WOW,IRL4208,15249,27/01/2015,2015,1.124,E,,,1.105,11,156,12.75,3.91,2.57,Multiple,2006,2007,118,32,0,0,0,Yes
JAK,GBR7535R,15257,20/01/2015,2015,1.009,E,,,0.986,8,159,10.5,3.35,1.98,Single,1991,2006,101,24,33,120,A,Yes
MACAVITY,GBR7528R,15266,26/01/2015,2015,0.921,,,,0.905,6,260,7.71,2.5,1.8,Multiple,2000,2000,105,18,0,0,0,Yes
HOT WATER,CAN54375,15268,19/03/2015,2015,1.134,E,,,1.107,12,153,13.11,3.9,2.29,Multiple,2003,2006,136,32,46,130,A,Yes
LEVANTE,IRL3107,15275,03/02/2015,2015,0.954,E,,,0.943,7,173,9.66,3.23,1.9,Multiple,1998,2005,118,26,31,131,A,Yes
BLACK WATCH,USA71,15289,26/01/2015,2015,1.129,E,,,1.106,20,290,20.68,4.42,3.81,Multiple,1938,1938,121,43,0,0,0,Yes
CARINA,USA315,15290,26/01/2015,2015,1.051,E,,,1.031,13,300,14.75,3.55,2.61,Multiple,1969,1969,122,42,0,0,0,Yes
HOUND,USA2650,15294,10/02/2015,2015,1.111,E,,,1.09,17,275,18.02,4.1,2.94,Multiple,1970,1970,122,50,0,0,0,Yes
JACQUELINE IV,USA52066,15295,30/03/2015,2015,1.005,E,,,0.985,11,351,12.91,3.83,2.81,Multiple,1983,1996,121,33,0,0,0,Yes
ROSALBA,10-OPEN60,15308,02/04/2015,2015,1.638,E,,,1.585,17,44,18.27,5.4,4.49,Multiple,2003,2003,101,29,0,0,0,Yes
SELENE,CAY80002,15309,27/01/2015,2015,1.354,E,,,1.334,24,117,24.37,5.81,3.52,Multiple,1999,2000,120,62,79,135,A,Yes
YELLOW ROSE,NED12,15318,23/02/2015,2015,1.049,,,,1.034,8,186,10.61,3.27,2.15,Multiple,2005,2006,141,23,33,123,A,Yes
A'ASSIFA,GBR9693T,15322,19/01/2015,2015,0.979,,,,0.969,8,227,10.3,3.48,1.92,Multiple,2002,2006,101,33,35,122,A,Yes
MERLIN,IRL1730,15346,20/04/2015,2015,1.022,E,Dayboat,,0.986,6,140,8,2.5,1.6,Multiple,1994,2015,107,14,0,0,0,Yes
BRILLIANT PEARL,6595,15381,25/06/2014,2014,0.999,E,,,0.98,7,220,9.99,3.37,1.99,Multiple,2005,2006,404,28,42,143,A,Yes
INSX,Sm5985,15382,12/08/2014,2014,1.04,E,,,1.017,9,193,11.63,3.31,2.28,Multiple,1980,1994,402,27,0,0,0,Yes
PANTS ON FIRE,SA3786,15397,04/11/2014,2014,1.006,,,,0.983,8,158,10.5,3.35,1.98,Multiple,1991,2006,409,25,33,120,A,Yes
SOUTHERN EXCELLENCE II,AUS03,15405,09/07/2014,2014,1.618,E,,,1.592,21,52,21.5,5.68,4.56,Multiple,2005,2005,401,51,0,0,0,Yes
Pure Joy,GBR8543R,15406,29/01/2015,2015,1.013,E,,,0.995,8,200,10.74,3.51,2.1,Single,2001,2006,101,31,33,121,A,Yes
ARAGON,NED8313,15417,04/02/2015,2015,1.461,E,,,1.426,22,75,22.19,4.99,3.99,Multiple,2004,2006,152,54,0,0,0,Yes
LE GRAND BLEU,JPN6222 ,15421,22/01/2015,2015,1.059,E,,,1.044,9,203,11.35,3.47,2.27,Multiple,2004,2005,148,28,34,120,A,Yes
SUMMER GIRL,JPN1725,15422,06/03/2015,2015,1.061,E,,,1.039,10,196,11.92,3.77,2.41,Multiple,1997,2002,148,32,36,126,A,Yes
DARE DEVIL,RF5095,15427,10/11/2014,2014,1.228,E,,,1.204,13,116,14.32,3.88,2.8,Multiple,2000,2000,401,34,0,0,0,Yes
WITHOUT FEAR,EF100,15434,04/03/2015,2014,1.026,E,,,1.005,8,159,10.22,3.37,2.24,Multiple,1996,1996,405,23,0,0,0,Yes
EAZI TIGER,GBR2909L,15452,12/01/2015,2015,0.984,E,,,0.962,6,221,8.82,2.82,1.98,Multiple,2005,2006,109,22,44,165,A,Yes
XINSKA,GBR1010L,15477,02/04/2015,2015,1.069,,,,1.047,10,194,12.19,3.8,2.38,Multiple,2004,2006,101,37,41,127,A,Yes
FIDELIS,45,15484,08/08/2014,2014,1.108,E,,,1.088,18,142,18.51,3.08,2.44,Multiple,1935,1964,401,33,0,0,0,Yes
DAYDREAM BELIEVER,GBR7347R,15503,28/01/2015,2015,0.981,E,,,0.966,7,208,9.99,3.37,2,Multiple,2005,2006,109,30,42,143,A,Yes
VICTOIRE,AUS5299,15511,16/12/2014,2014,1.352,E,,,1.313,15,85,15.23,4.29,3.52,Multiple,2004,2006,401,33,0,0,0,Yes
FRESH,L7,15512,12/02/2015,2014,1.174,E,,,1.151,13,148,14.27,4.04,2.94,Multiple,1998,2006,403,35,0,0,0,Yes
MANBOW 7,JPN5394,15526,18/03/2015,2015,1.05,E,,,1.039,7,151,9.6,3.28,2.03,Multiple,1995,1995,148,16,0,0,0,Yes
JAEGER,25202,15527,31/03/2015,2015,1.012,E,,,0.999,8,207,10.79,3.66,2.12,Multiple,1983,1989,136,26,33,120,A,Yes
WOT EVA,6953,15554,09/07/2014,2014,1.338,E,,,1.301,15,70,15.85,4.18,3.18,Multiple,2001,2005,401,33,0,0,0,Yes
THE WORKS,GBR7639R,15566,16/02/2015,2015,0.965,,,,0.948,5,148,7.61,2.59,1.68,Multiple,1995,1998,104,12,0,0,0,Yes
CALM,AUS52,15570,22/05/2014,2014,1.36,E,,,1.317,15,76,15.85,4.43,3.12,Multiple,2005,2005,405,34,0,0,0,Yes
COBRA,GBR347L,15571,24/04/2015,2015,0.99,,,,0.973,7,210,9.99,3.37,2,Multiple,2005,2005,101,28,42,143,A,Yes
TEMPTATION,FRA27145,15574,26/03/2015,2015,0.966,,,,0.953,7,156,9.15,3.22,1.8,Multiple,1992,1992,103,19,0,0,0,Yes
JOKER II,IRL1206,15576,23/03/2015,2015,1.016,E,,,1.001,8,203,10.74,3.51,2.08,Multiple,2001,2004,118,29,33,121,A,Yes
WILD SPIRIT,GBR8799T,15579,22/01/2015,2015,0.983,E,,,0.967,9,203,11.75,3.95,1.95,Single,1998,1999,101,42,38,122,A,Yes
K2,AUS6100,15584,10/09/2014,2014,1.081,E,,,1.052,7,115,9.43,3.08,2.15,Multiple,1995,2006,402,19,27,132,B,Yes
KINE KINE II,JPN5910,15586,14/04/2015,2015,1.073,E,,,1.059,10,168,12.1,3.77,2.39,Multiple,2000,2000,148,28,47,132,A,Yes
VOYAGER 5,JPN5575,15587,25/03/2015,2015,1.08,E,,,1.064,8,136,10.9,3.62,2.23,Multiple,1993,1993,148,26,27,120,B,Yes
NAMU,182,15602,17/06/2014,2014,0.987,E,,,0.973,8,199,11.2,2.85,1.88,Multiple,1967,1967,408,26,0,0,0,Yes
CRYSTAL,HKG2118,15606,05/06/2014,2014,1.108,,,,1.094,12,186,13.35,3.97,2.65,Multiple,2003,2005,410,32,41,130,A,Yes
ELYSIUM,8900,15622,23/05/2014,2014,1.143,,,,1.118,13,132,14.23,4.61,2.56,Single+H/W Jib,2001,2001,408,38,0,0,0,Yes
WILD WEST,Z39,15625,12/03/2015,2014,1.146,E,,,1.128,10,146,11.92,3.73,3.03,Multiple,2004,2004,407,26,0,0,0,Yes
OAKCLIFF FARR 40-BLACK,USA51695,15628,23/04/2015,2015,1.184,E,,,1.144,10,122,12.41,3.96,2.6,Multiple,1996,2001,122,25,39,131,A,Yes
BOBBIE,UAE4242,15630,01/10/2014,2014,1.067,,,,1.058,11,143,12.8,3.85,1.8,Single,1995,2003,416,33,0,0,0,Yes
ENDORFIN,F107,15632,12/06/2014,2014,1.161,E,,,1.143,13,155,14.27,4.04,2.94,Multiple,1998,2006,401,35,0,0,0,Yes
BOBBY'S GIRL,NZL40010,15640,22/05/2014,2014,1.166,E,,,1.138,10,129,12.41,3.96,2.6,Multiple,1996,1997,404,25,39,131,A,Yes
VORTEX,GBR9735T,15643,27/02/2015,2015,1.046,E,,,1.031,8,189,10.61,3.27,2.15,Multiple,2005,2007,101,23,33,123,A,Yes
GUCCI,NZL6654,15647,28/05/2014,2014,0.963,E,,,0.943,8,180,10.55,3.31,1.78,Multiple,1988,1988,408,31,0,0,0,Yes
POWER PLAY,NZL8892,15652,11/07/2014,2014,1.129,E,,,1.099,10,144,11.98,3.85,2.58,Multiple,1995,2005,408,26,0,0,0,Yes
